"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.5 Mishandeling"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Osdorper Binnenpolder";"4";"5";"2";"3";"1";"5";"3";"2";"2";"1";"2";"10"
"De Eendracht";"5";"6";"5";"3";"2";"3";"4";"3";"3";"2";"3";"4"
"Ruys de Beerenbrouckbuurt";"18";"10";"14";"17";"20";"15";"15";"14";"18";"11";"18";"19"
"Eendrachtspark";"0";"1";"3";"0";"0";"0";"0";"1";"4";"1";"3";"1"
"Van Tijenbuurt";"4";"8";"7";"7";"7";"7";"4";"7";"7";"2";"8";"10"
"Dudokbuurt";"19";"16";"18";"10";"16";"17";"15";"15";"11";"16";"9";"10"
"Bakemabuurt";"10";"5";"8";"9";"8";"12";"5";"11";"13";"9";"8";"9"
"Wegener Sleeswijkbuurt";"8";"11";"8";"8";"3";"6";"5";"4";"6";"2";"1";"6"
"Slotermeer-West";"51";"41";"33";"45";"54";"51";"33";"43";"59";"37";"53";"28"
"Jan de Louterbuurt";"17";"11";"9";"11";"25";"19";"17";"10";"17";"13";"23";"14"
"Lodewijk van Deysselbuurt";"15";"18";"11";"18";"14";"17";"9";"21";"27";"14";"19";"7"
"Confuciusbuurt";"19";"12";"13";"16";"15";"15";"7";"12";"15";"10";"11";"7"
"Slotermeer-Noordoost";"46";"58";"47";"58";"49";"44";"55";"49";"47";"32";"40";"37"
"Arondeusbuurt";"13";"15";"12";"20";"8";"15";"14";"15";"13";"10";"11";"8"
"Coronelbuurt";"4";"5";"4";"3";"2";"3";"2";"1";"5";"1";"3";"1"
"Meerwaldtbuurt";"12";"11";"10";"17";"3";"6";"17";"7";"8";"13";"9";"9"
"Dobbebuurt";"17";"27";"21";"18";"36";"20";"22";"26";"21";"8";"17";"19"
"Slotermeer-Zuidoost";"32";"49";"44";"36";"31";"33";"28";"34";"35";"20";"28";"36"
"Dichtersbuurt";"0";"4";"6";"1";"3";"5";"6";"1";"8";"0";"1";"6"
"Louis Couperusbuurt";"18";"25";"20";"17";"11";"10";"9";"18";"12";"7";"11";"8"
"Noordoever Sloterplas";"14";"18";"14";"14";"16";"17";"9";"10";"11";"8";"13";"16"
"Sloterpark";"0";"2";"4";"4";"1";"1";"4";"5";"4";"5";"3";"6"
"Lutkemeer/Ookmeer";"4";"6";"9";"5";"10";"5";"15";"13";"21";"16";"13";"18"
"Osdorper Bovenpolder";"0";"4";"3";"3";"4";"1";"1";"8";"4";"4";"1";"4"
"Ookmeer";"4";"2";"2";"1";"4";"4";"13";"2";"9";"9";"9";"9"
"Bedrijvenpark Lutkemeer";"0";"0";"4";"1";"2";"0";"1";"3";"8";"3";"3";"5"
"De Aker";"30";"21";"29";"25";"20";"25";"26";"35";"26";"27";"23";"21"
"Middelveldsche Akerpolder";"9";"7";"9";"4";"6";"10";"6";"6";"3";"8";"6";"4"
"De Aker-West";"8";"7";"11";"9";"5";"6";"10";"12";"3";"9";"8";"5"
"De Aker-Oost";"13";"7";"9";"12";"9";"9";"10";"17";"20";"10";"9";"12"
"De Punt";"28";"33";"24";"23";"45";"41";"28";"37";"17";"30";"23";"17"
"Bedrijvencentrum Osdorp";"5";"8";"6";"6";"13";"15";"5";"15";"6";"5";"6";"8"
"Dijkgraafpleinbuurt";"23";"25";"18";"17";"32";"26";"23";"22";"11";"25";"17";"9"
"Osdorp-Midden";"61";"64";"57";"53";"57";"52";"54";"47";"55";"37";"51";"50"
"Reimerswaal";"8";"11";"11";"15";"10";"8";"6";"9";"6";"2";"5";"4"
"Botteskerkbuurt";"14";"10";"9";"9";"16";"10";"11";"9";"16";"7";"10";"11"
"Zuidwestkwadrant-Noord";"24";"17";"16";"17";"17";"16";"16";"14";"14";"9";"16";"13"
"Zuidwestkwadrant-Zuid";"15";"26";"21";"12";"14";"18";"21";"15";"19";"19";"20";"22"
"Osdorp-Oost";"71";"73";"68";"80";"78";"80";"57";"73";"84";"58";"67";"79"
"Wildeman";"21";"31";"15";"22";"17";"22";"20";"23";"30";"19";"19";"18"
"Meer en Oever";"5";"7";"2";"2";"11";"6";"1";"7";"9";"6";"4";"8"
"Osdorpplein e.o.";"33";"17";"31";"24";"29";"31";"21";"21";"30";"19";"35";"43"
"Calandlaan/Lelylaan";"7";"5";"4";"11";"7";"3";"6";"8";"7";"10";"3";"2"
"Osdorp-Zuidoost";"5";"13";"16";"21";"14";"18";"9";"14";"8";"4";"6";"8"
"Slotervaart-Noord";"20";"17";"26";"29";"32";"28";"27";"20";"24";"21";"35";"16"
"Oostoever Sloterplas";"6";"5";"4";"3";"3";"3";"4";"2";"3";"4";"4";"1"
"Emanuel van Meterenbuurt";"1";"3";"7";"8";"11";"5";"10";"7";"9";"5";"14";"6"
"Jacob Geelbuurt";"13";"9";"15";"18";"18";"20";"13";"11";"12";"12";"17";"9"
"Overtoomse Veld";"71";"63";"67";"69";"54";"49";"48";"53";"42";"52";"57";"45"
"Lucas/Andreasziekenhuis e.o.";"3";"5";"10";"8";"8";"11";"4";"10";"5";"5";"6";"8"
"Overtoomse Veld-Noord";"26";"22";"17";"28";"19";"14";"18";"14";"18";"20";"17";"13"
"Rembrandtpark-Noord";"8";"5";"13";"7";"3";"6";"3";"5";"5";"10";"9";"6"
"Overtoomse Veld-Zuid";"20";"24";"20";"17";"19";"18";"17";"19";"11";"12";"18";"15"
"Rembrandtpark-Zuid";"3";"7";"5";"4";"2";"0";"5";"4";"1";"2";"3";"2"
"Johan Jongkindbuurt";"11";"0";"2";"5";"3";"0";"1";"1";"2";"3";"4";"1"
"Slotervaart-Zuid";"46";"37";"60";"39";"36";"31";"49";"43";"39";"36";"29";"35"
"Louis Crispijnbuurt";"12";"11";"22";"12";"11";"10";"12";"11";"10";"12";"10";"7"
"Jacques Veldmanbuurt";"16";"6";"12";"17";"14";"11";"20";"15";"11";"7";"8";"18"
"Medisch Centrum Slotervaart";"3";"3";"3";"4";"1";"3";"4";"1";"4";"5";"3";"2"
"Staalmanbuurt";"15";"17";"23";"6";"10";"7";"13";"16";"14";"12";"8";"8"
"Westlandgracht";"59";"48";"55";"52";"60";"54";"52";"50";"49";"50";"51";"63"
"Schipluidenbuurt";"5";"5";"5";"6";"4";"5";"2";"1";"5";"4";"8";"3"
"Koningin Wilhelminaplein";"2";"5";"1";"1";"4";"6";"5";"1";"0";"1";"4";"4"
"Andreasterrein";"2";"2";"3";"2";"6";"4";"7";"9";"1";"4";"3";"5"
"Delflandpleinbuurt-West";"32";"16";"17";"12";"19";"14";"16";"16";"18";"11";"23";"28"
"Delflandpleinbuurt-Oost";"18";"18";"28";"27";"23";"23";"19";"17";"16";"24";"9";"17"
"Riekerhaven";"0";"2";"1";"4";"4";"2";"3";"6";"9";"6";"4";"6"
"Sloten/Nieuw-Sloten";"29";"26";"40";"31";"30";"29";"38";"20";"22";"22";"27";"31"
"Dorp Sloten";"0";"1";"2";"2";"1";"3";"5";"1";"1";"7";"3";"1"
"Nieuw-Sloten-Noordwest";"7";"5";"9";"3";"5";"6";"5";"2";"1";"2";"3";"5"
"Nieuw-Sloten-Noordoost";"8";"5";"6";"8";"8";"6";"6";"3";"5";"3";"6";"4"
