"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.3 Diefstal van brom-, snor-, fietsen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Vondelparkbuurt-West";"27";"43";"44";"39";"32";"31";"48";"33";"45";"24";"45";"31"
"Helmersbuurt";"176";"188";"201";"172";"173";"129";"163";"140";"134";"101";"151";"143"
"Cremerbuurt-Oost";"61";"66";"60";"53";"51";"32";"28";"35";"32";"24";"30";"38"
"WG-terrein";"52";"55";"59";"51";"58";"34";"56";"39";"46";"45";"55";"55"
"Helmersbuurt-Oost";"63";"67";"82";"68";"64";"63";"79";"66";"56";"32";"66";"50"
"Vondelparkbuurt";"51";"75";"107";"56";"45";"33";"64";"55";"42";"34";"42";"65"
"Vondelparkbuurt-Midden";"19";"26";"33";"25";"16";"17";"32";"28";"19";"17";"17";"33"
"Vondelparkbuurt-Oost";"32";"49";"74";"31";"29";"16";"32";"27";"23";"17";"25";"32"
"Sloterdijk Nieuw-West";"71";"59";"99";"109";"103";"89";"86";"101";"73";"80";"146";"183"
"Sloterdijk De Heining";"2";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Sloterdijk Poort-Noord";"1";"0";"1";"1";"2";"2";"0";"1";"0";"5";"2";"2"
"Sloterdijk Poort-Zuid";"2";"1";"1";"3";"2";"4";"2";"5";"3";"2";"5";"9"
"Sloterdijk Rhônepark";"3";"1";"1";"2";"0";"3";"2";"3";"2";"1";"6";"3"
"Sloterdijk Donauhoek";"4";"2";"4";"2";"1";"0";"1";"3";"1";"1";"1";"1"
"Bretten-West";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0"
"Bretten-Oost";"1";"3";"0";"0";"1";"1";"3";"3";"0";"1";"3";"4"
"Sloterdijk Stationskwartier";"56";"51";"92";"100";"97";"78";"77";"85";"66";"70";"128";"164"
"Geuzenveld";"49";"59";"70";"80";"89";"69";"82";"56";"63";"60";"40";"77"
"Osdorper Binnenpolder";"3";"0";"4";"2";"3";"1";"2";"4";"0";"2";"1";"6"
"De Eendracht";"3";"4";"6";"5";"6";"6";"3";"3";"1";"2";"2";"9"
"Ruys de Beerenbrouckbuurt";"20";"19";"25";"23";"28";"22";"27";"17";"33";"22";"15";"27"
"Eendrachtspark";"3";"0";"2";"1";"3";"2";"3";"0";"0";"1";"0";"1"
"Van Tijenbuurt";"3";"3";"6";"10";"6";"3";"8";"9";"5";"9";"5";"4"
"Dudokbuurt";"10";"19";"14";"20";"27";"17";"19";"10";"15";"10";"5";"9"
"Bakemabuurt";"6";"10";"6";"17";"12";"11";"17";"11";"7";"11";"9";"15"
"Wegener Sleeswijkbuurt";"1";"4";"7";"2";"4";"7";"3";"2";"2";"3";"3";"6"
"Slotermeer-West";"46";"47";"52";"72";"70";"55";"54";"54";"48";"48";"47";"44"
"Jan de Louterbuurt";"22";"20";"20";"25";"32";"27";"12";"28";"13";"16";"14";"18"
"Lodewijk van Deysselbuurt";"13";"15";"17";"23";"24";"13";"20";"15";"19";"16";"13";"13"
"Confuciusbuurt";"11";"12";"15";"24";"14";"15";"22";"11";"16";"16";"20";"13"
"Slotermeer-Noordoost";"50";"89";"62";"99";"79";"51";"36";"66";"49";"50";"54";"65"
"Arondeusbuurt";"15";"49";"16";"36";"27";"16";"9";"7";"16";"15";"13";"17"
"Coronelbuurt";"5";"9";"5";"14";"8";"9";"4";"10";"8";"8";"8";"12"
"Meerwaldtbuurt";"7";"6";"11";"14";"6";"7";"3";"21";"10";"10";"7";"11"
"Dobbebuurt";"23";"25";"30";"35";"38";"19";"20";"28";"15";"17";"26";"25"
"Slotermeer-Zuidoost";"49";"59";"38";"50";"60";"50";"48";"56";"56";"72";"80";"81"
"Dichtersbuurt";"4";"10";"5";"9";"9";"3";"6";"5";"3";"13";"8";"5"
"Louis Couperusbuurt";"20";"13";"12";"17";"12";"16";"15";"18";"15";"17";"18";"26"
"Noordoever Sloterplas";"20";"32";"17";"20";"32";"26";"21";"32";"34";"39";"53";"40"
"Sloterpark";"5";"4";"4";"4";"7";"5";"6";"1";"4";"3";"1";"10"
"Lutkemeer/Ookmeer";"3";"4";"10";"5";"3";"6";"11";"5";"5";"7";"5";"5"
"Osdorper Bovenpolder";"1";"2";"2";"3";"0";"5";"6";"1";"1";"4";"2";"0"
"Ookmeer";"2";"1";"8";"2";"3";"1";"4";"2";"4";"2";"3";"5"
"Bedrijvenpark Lutkemeer";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0"
"De Aker";"37";"22";"20";"27";"23";"27";"27";"30";"18";"19";"18";"35"
"Middelveldsche Akerpolder";"5";"8";"6";"6";"10";"5";"9";"10";"7";"6";"4";"9"
"De Aker-West";"8";"7";"6";"11";"5";"12";"5";"9";"3";"6";"9";"10"
"De Aker-Oost";"24";"7";"8";"10";"8";"10";"13";"11";"8";"7";"5";"16"
"De Punt";"33";"29";"35";"34";"25";"35";"33";"36";"31";"15";"21";"41"
"Bedrijvencentrum Osdorp";"3";"2";"6";"7";"1";"10";"8";"6";"4";"3";"3";"14"
"Dijkgraafpleinbuurt";"30";"27";"29";"27";"24";"25";"25";"30";"27";"12";"18";"27"
"Osdorp-Midden";"73";"92";"88";"79";"100";"67";"79";"69";"61";"47";"65";"85"
"Reimerswaal";"10";"9";"10";"10";"21";"12";"22";"8";"8";"7";"3";"10"
"Botteskerkbuurt";"15";"12";"16";"12";"13";"9";"12";"15";"5";"6";"9";"9"
"Zuidwestkwadrant-Noord";"24";"27";"28";"14";"21";"13";"11";"18";"16";"13";"17";"21"
"Zuidwestkwadrant-Zuid";"24";"44";"34";"43";"45";"33";"34";"28";"32";"21";"36";"45"
"Osdorp-Oost";"123";"119";"114";"92";"106";"82";"77";"97";"79";"81";"73";"100"
"Wildeman";"14";"24";"22";"21";"24";"18";"15";"14";"14";"17";"12";"14"
"Meer en Oever";"18";"17";"13";"17";"20";"12";"16";"11";"11";"10";"10";"13"
"Osdorpplein e.o.";"51";"46";"44";"23";"40";"29";"21";"27";"34";"28";"32";"49"
"Calandlaan/Lelylaan";"7";"5";"12";"9";"5";"7";"8";"12";"3";"9";"2";"4"
"Osdorp-Zuidoost";"33";"27";"23";"22";"17";"16";"17";"33";"17";"17";"17";"20"
"Slotervaart-Noord";"81";"70";"93";"123";"146";"128";"116";"121";"67";"71";"89";"103"
"Oostoever Sloterplas";"10";"9";"5";"9";"7";"4";"4";"7";"3";"4";"7";"15"
"Emanuel van Meterenbuurt";"12";"14";"19";"20";"13";"15";"7";"5";"9";"12";"11";"14"
"Jacob Geelbuurt";"59";"47";"69";"94";"126";"109";"105";"109";"55";"55";"71";"74"
"Overtoomse Veld";"101";"114";"119";"121";"126";"107";"110";"86";"116";"105";"116";"191"
"Lucas/Andreasziekenhuis e.o.";"6";"4";"13";"10";"19";"13";"11";"10";"15";"29";"10";"22"
"Overtoomse Veld-Noord";"19";"36";"27";"34";"25";"25";"35";"27";"41";"38";"34";"64"
"Rembrandtpark-Noord";"31";"38";"32";"24";"32";"21";"21";"12";"14";"11";"21";"29"
"Overtoomse Veld-Zuid";"30";"21";"34";"27";"24";"31";"27";"23";"33";"17";"32";"48"
"Rembrandtpark-Zuid";"10";"13";"9";"25";"20";"15";"11";"12";"8";"8";"11";"22"
"Johan Jongkindbuurt";"5";"2";"4";"1";"6";"2";"5";"2";"5";"2";"8";"6"
"Slotervaart-Zuid";"69";"55";"71";"93";"85";"97";"72";"96";"71";"59";"98";"94"
"Louis Crispijnbuurt";"19";"10";"8";"23";"17";"28";"10";"29";"23";"16";"9";"26"
"Jacques Veldmanbuurt";"28";"26";"36";"27";"34";"40";"37";"41";"19";"23";"52";"39"
"Medisch Centrum Slotervaart";"8";"6";"15";"23";"16";"8";"6";"6";"11";"7";"8";"7"
"Staalmanbuurt";"14";"13";"12";"20";"18";"21";"19";"20";"18";"13";"29";"22"
"Westlandgracht";"90";"74";"76";"102";"115";"94";"139";"113";"145";"117";"218";"176"
"Schipluidenbuurt";"5";"1";"5";"3";"5";"13";"15";"13";"15";"14";"20";"16"
"Koningin Wilhelminaplein";"23";"25";"10";"29";"26";"20";"27";"28";"31";"34";"51";"54"
"Andreasterrein";"19";"18";"16";"18";"18";"10";"15";"10";"12";"15";"12";"20"
"Delflandpleinbuurt-West";"31";"16";"26";"31";"45";"25";"41";"32";"56";"32";"86";"61"
"Delflandpleinbuurt-Oost";"4";"2";"14";"9";"9";"12";"15";"17";"14";"10";"21";"10"
"Riekerhaven";"8";"12";"5";"12";"12";"14";"26";"13";"17";"12";"28";"15"
"Sloten/Nieuw-Sloten";"61";"44";"55";"76";"58";"57";"61";"69";"57";"20";"45";"49"
"Dorp Sloten";"6";"3";"2";"3";"0";"3";"2";"2";"2";"0";"2";"2"
"Nieuw-Sloten-Noordwest";"10";"9";"14";"18";"3";"13";"8";"11";"14";"5";"2";"8"
