"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.1 Horizontale fraude"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Van Tijenbuurt";"1";"1";"1";"6";"7";"10";"12";"16";"16";"33";"14";"19"
"Dudokbuurt";"3";"0";"3";"10";"19";"8";"14";"19";"28";"40";"10";"15"
"Bakemabuurt";"4";"0";"2";"10";"17";"12";"14";"14";"15";"15";"10";"18"
"Wegener Sleeswijkbuurt";"4";"0";"1";"2";"6";"10";"6";"5";"7";"15";"10";"13"
"Slotermeer-West";"7";"10";"4";"30";"66";"51";"45";"74";"83";"85";"54";"51"
"Jan de Louterbuurt";"2";"6";"2";"9";"29";"16";"19";"23";"35";"34";"19";"14"
"Lodewijk van Deysselbuurt";"5";"2";"1";"11";"19";"17";"18";"25";"28";"27";"20";"23"
"Confuciusbuurt";"0";"2";"1";"10";"18";"18";"8";"26";"20";"24";"15";"14"
"Slotermeer-Noordoost";"4";"7";"3";"24";"54";"47";"58";"63";"73";"65";"38";"60"
"Arondeusbuurt";"2";"1";"1";"8";"9";"13";"15";"20";"26";"19";"9";"10"
"Coronelbuurt";"0";"1";"0";"2";"7";"3";"7";"9";"22";"13";"7";"7"
"Meerwaldtbuurt";"1";"2";"0";"5";"9";"7";"12";"15";"14";"12";"7";"16"
"Dobbebuurt";"1";"3";"2";"9";"29";"24";"24";"19";"11";"21";"15";"27"
"Slotermeer-Zuidoost";"3";"3";"0";"17";"28";"30";"32";"63";"58";"59";"38";"29"
"Dichtersbuurt";"0";"0";"0";"2";"3";"11";"5";"5";"13";"12";"6";"7"
"Louis Couperusbuurt";"1";"1";"0";"11";"10";"10";"9";"19";"12";"23";"11";"6"
"Noordoever Sloterplas";"1";"2";"0";"4";"15";"9";"18";"18";"29";"24";"21";"16"
"Sloterpark";"1";"0";"0";"0";"0";"0";"0";"21";"4";"0";"0";"0"
"Lutkemeer/Ookmeer";"4";"1";"0";"3";"6";"2";"10";"11";"12";"12";"5";"12"
"Osdorper Bovenpolder";"3";"1";"0";"2";"3";"2";"9";"4";"4";"6";"1";"8"
"Ookmeer";"0";"0";"0";"0";"2";"0";"1";"5";"5";"3";"2";"2"
"Bedrijvenpark Lutkemeer";"1";"0";"0";"1";"1";"0";"0";"2";"3";"3";"2";"2"
"De Aker";"11";"5";"6";"29";"47";"56";"70";"67";"88";"109";"79";"71"
"Middelveldsche Akerpolder";"2";"1";"1";"10";"13";"14";"19";"13";"21";"31";"24";"24"
"De Aker-West";"1";"1";"3";"9";"16";"20";"22";"28";"31";"38";"17";"16"
"De Aker-Oost";"8";"3";"2";"10";"18";"22";"29";"26";"36";"40";"38";"31"
"De Punt";"8";"4";"6";"21";"29";"23";"32";"26";"47";"65";"49";"44"
"Bedrijvencentrum Osdorp";"4";"1";"1";"1";"1";"1";"6";"8";"6";"8";"3";"6"
"Dijkgraafpleinbuurt";"4";"3";"5";"20";"28";"22";"26";"18";"41";"57";"46";"38"
"Osdorp-Midden";"20";"18";"7";"39";"69";"70";"78";"84";"107";"104";"77";"69"
"Reimerswaal";"4";"3";"0";"6";"16";"10";"16";"11";"10";"26";"15";"12"
"Botteskerkbuurt";"5";"8";"1";"6";"11";"15";"17";"23";"32";"22";"13";"14"
"Zuidwestkwadrant-Noord";"6";"3";"3";"12";"10";"21";"17";"23";"27";"24";"22";"10"
"Zuidwestkwadrant-Zuid";"5";"4";"3";"15";"32";"24";"28";"27";"38";"32";"27";"33"
"Osdorp-Oost";"47";"23";"13";"58";"64";"75";"102";"108";"140";"135";"109";"111"
"Wildeman";"6";"7";"6";"18";"15";"28";"27";"33";"40";"29";"30";"25"
"Meer en Oever";"8";"6";"4";"6";"14";"7";"13";"11";"29";"13";"21";"20"
"Osdorpplein e.o.";"28";"8";"0";"14";"13";"18";"35";"23";"32";"43";"25";"38"
"Calandlaan/Lelylaan";"1";"0";"1";"5";"6";"9";"4";"6";"11";"9";"6";"6"
"Osdorp-Zuidoost";"4";"2";"2";"15";"16";"13";"23";"35";"28";"41";"27";"22"
"Slotervaart-Noord";"9";"6";"2";"27";"28";"39";"39";"22";"55";"51";"45";"32"
