"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.1 Diefstal/inbraak bedrijven enz."
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Hemknoop-Zuid";"6";"2";"2";"1";"0";"1";"1";"1";"0";"2";"0";"0"
"Overbraker Binnenpolder";"3";"2";"0";"1";"0";"1";"1";"1";"2";"1";"0";"1"
"Zaanstraat emplacement";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"1";"3";"1";"2";"3";"2";"3";"2";"1";"1";"0";"1"
"Spaarndammerbuurt-Midden";"1";"7";"3";"7";"2";"1";"2";"2";"5";"2";"1";"0"
"Spaarndammerbuurt-Zuidwest";"4";"5";"4";"3";"2";"1";"3";"6";"1";"4";"5";"0"
"Spaarndammerbuurt-Noordoost";"2";"2";"3";"1";"2";"3";"2";"2";"3";"1";"0";"0"
"Zeeheldenbuurt";"17";"11";"11";"7";"2";"5";"4";"5";"4";"0";"4";"2"
"Westergasfabriek";"12";"14";"18";"16";"5";"4";"6";"11";"3";"1";"5";"3"
"Spaarndammerbuurt-Zuidoost";"4";"7";"1";"8";"3";"2";"3";"4";"4";"3";"1";"0"
"Houthavens";"4";"7";"2";"2";"1";"3";"1";"5";"4";"0";"2";"2"
"Houthavens-West";"2";"2";"2";"2";"1";"2";"1";"5";"4";"0";"2";"1"
"Houthavens-Oost";"2";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"De Kolenkit";"32";"29";"20";"26";"20";"11";"18";"9";"12";"11";"5";"9"
"Kolenkitbuurt-Noord";"11";"5";"6";"12";"4";"5";"9";"5";"6";"2";"2";"1"
"Kolenkitbuurt-Zuid";"3";"7";"0";"3";"3";"0";"1";"0";"2";"0";"0";"3"
"Laan van Spartaan";"10";"13";"10";"6";"7";"5";"4";"2";"4";"3";"2";"3"
"Robert Scottbuurt-West";"8";"4";"4";"5";"6";"1";"4";"2";"0";"6";"1";"2"
"Landlust";"70";"72";"61";"67";"45";"36";"23";"45";"33";"15";"30";"35"
"Bosleeuw";"34";"26";"20";"35";"30";"13";"16";"16";"15";"5";"13";"16"
